EmployeeID,Department,JobRole,HireDate,YearsAtCompany,MonthlyIncome,OverTime,EngagementScore,PTOUsed,RemoteWorkPct,PerformanceScore,EducationLevel,Attrition,ExitReason
1,Operations,Operations Manager,2015-04-13,10.88,7745.07,No,67.9,18,95.7,Below Average,Bachelors,No,
2,Engineering,DevOps Engineer,2023-04-22,2.85,8648.77,Yes,66.5,22,73.0,High,PhD,Yes,Better Offer
3,Sales,Account Executive,2020-08-31,5.49,6295.79,Yes,78.1,12,36.0,High,Bachelors,No,
4,Operations,Business Analyst,2017-06-21,8.68,7362.94,No,41.3,6,33.1,High,Masters,No,
5,Engineering,Software Engineer,2022-10-30,3.32,7480.75,No,74.7,10,7.6,Average,Masters,No,
6,HR,HR Manager,2016-01-15,10.12,9198.47,No,66.6,15,7.3,Low,Masters,No,
7,Marketing,Content Strategist,2024-01-19,2.1,6183.43,Yes,71.7,9,61.3,Above Average,High School,No,
8,Finance,Financial Analyst,2021-03-11,4.96,6099.04,No,65.6,11,100.0,High,Masters,No,
9,Operations,Operations Manager,2015-07-07,10.64,6979.75,Yes,54.1,19,13.4,Average,High School,No,
10,Engineering,Data Scientist,2018-02-12,8.04,9313.3,No,40.6,8,55.9,Average,Bachelors,No,
11,Sales,Sales Manager,2022-11-14,3.28,8107.7,Yes,72.6,14,41.0,High,Bachelors,No,
12,Sales,Account Executive,2020-03-08,5.97,4782.22,No,59.2,12,81.7,Average,Bachelors,No,
13,Engineering,Software Engineer,2024-03-20,1.93,9515.43,Yes,43.6,16,38.4,Average,PhD,Yes,Burnout
14,Marketing,Content Strategist,2017-05-20,8.77,5984.62,No,79.2,20,77.9,Above Average,PhD,No,
15,Sales,Account Executive,2023-05-10,2.8,5741.17,No,65.4,16,79.3,High,PhD,No,
16,Finance,Accountant,2017-06-17,8.7,6281.24,Yes,67.2,9,14.1,High,PhD,Yes,Better Offer
17,Engineering,Software Engineer,2022-01-14,4.12,10218.79,Yes,90.3,14,80.1,Above Average,High School,No,
18,Marketing,Content Strategist,2020-12-07,5.22,7542.45,No,60.3,16,96.1,High,High School,No,
19,Engineering,DevOps Engineer,2024-12-03,1.23,8946.26,No,93.5,1,74.7,Average,High School,No,
20,Sales,Sales Manager,2015-01-14,11.12,7130.57,No,65.5,15,0.0,High,Bachelors,No,
21,Engineering,DevOps Engineer,2018-05-07,7.81,8670.49,Yes,75.4,22,34.5,Below Average,Masters,No,
22,Marketing,Marketing Manager,2021-09-19,4.44,5787.26,No,62.5,19,59.9,Above Average,High School,No,
23,HR,Recruiter,2017-09-07,8.47,6205.36,Yes,77.7,15,79.1,Below Average,High School,Yes,Manager Conflict
24,Engineering,DevOps Engineer,2023-08-03,2.56,7946.92,Yes,65.1,13,6.1,Below Average,PhD,No,
25,Sales,Sales Manager,2020-12-01,5.24,7444.18,No,73.9,15,43.0,Below Average,Bachelors,No,
26,Finance,Accountant,2019-11-30,6.24,4876.94,No,63.7,13,25.9,Low,Bachelors,No,
27,HR,HR Manager,2021-08-06,4.56,6758.07,Yes,76.1,24,55.2,High,Bachelors,Yes,
28,Operations,Operations Manager,2017-07-26,8.59,7386.33,Yes,68.9,5,49.2,Low,Masters,Yes,Burnout
29,HR,Recruiter,2017-05-27,8.75,7090.35,Yes,100.0,14,59.0,High,PhD,Yes,Manager Conflict
